"","day1","day2","day3","day4","day5","day6","day7","day8","day9","day10","day11","day12","day13","day14"
"F567",0.3874022049547,0.474943336736363,0.564052077423776,0.649207671779625,0.725815125984645,0.791076613221154,0.844140195664054,0.885674124267869,0.91722529574069,0.940652572827269,0.957754739503778,0.970085300763577,0.978896117652832,0.985151593476242
"F572",0.387748967820845,0.475307660493787,0.564411277813946,0.649540302758969,0.726105762300598,0.791317961710766,0.844332307462798,0.885821966151252,0.917336144962332,0.940734076142812,0.957813809316081,0.970127667014628,0.978926276785483,0.985172948439653
"F514",0.38839327340064,0.475984347850257,0.565078201048083,0.650157675488757,0.726645019390036,0.791765646554014,0.844688582815543,0.886096094562652,0.917541654560932,0.940885164968755,0.957923303667815,0.970206194890773,0.978982176131022,0.985212528403248
"M629",0.388764306534098,0.476373882647141,0.565461968937113,0.650512801312271,0.726955110018655,0.79202300844171,0.844893349515238,0.886253619999846,0.917659732930542,0.940971966467414,0.95798620429055,0.970251304001351,0.979014285430716,0.985235263035176
"F769",0.388793456176713,0.476404481329044,0.565492110094365,0.650540688923701,0.726979457933441,0.792043213948593,0.844909424336566,0.886265985373555,0.917669001312295,0.940978779551133,0.957991141243554,0.970254844458433,0.979016805540667,0.985237047352241
"F518",0.38901107800312,0.476632900433402,0.565717092965286,0.650748832254627,0.727161167791638,0.792193998598261,0.845029376946455,0.886358253594917,0.917738158075631,0.941029614684025,0.958027977166997,0.970281260416979,0.979035608342962,0.985250360241381
"F762",0.389803819033185,0.477464663370385,0.566536033154559,0.651506202663006,0.727822140237873,0.792742328645302,0.845465488080428,0.886693653866782,0.917989513383449,0.941214360419018,0.958161837123826,0.970377249734384,0.9791039307203,0.98529873304382
"F628",0.389895370287763,0.477560689842227,0.566630547933299,0.651593583980516,0.727898378025163,0.792805558769875,0.845515767925693,0.886732316685027,0.918018484654636,0.941235652413912,0.958177263545705,0.970388311327269,0.979111803781409,0.985304307106932
"F839",0.392330403090128,0.480112376127547,0.569139692595219,0.653911264089037,0.729918856577742,0.79448015335771,0.846846643516337,0.887755251120418,0.918784748350228,0.941798668134882,0.958585105268498,0.970680718558534,0.979319904725773,0.9854516312458
"M842",0.394007562894132,0.481867223073939,0.570862633901161,0.65550040646597,0.731302402704527,0.795625573669807,0.847756137521508,0.888453810399688,0.919307747392339,0.942182791274368,0.95886327868704,0.970880116792901,0.979461791662725,0.985552068828896
"F516",0.394531184048293,0.482414655102092,0.571399671832843,0.655995352809516,0.731733013661341,0.795981859347675,0.84803890158368,0.888670912661706,0.919470241703463,0.942302112011951,0.958949674786219,0.970942039734353,0.979505851027677,0.985583255399743
"F542",0.398320939635827,0.486370465336896,0.575274153814375,0.659560729189473,0.73483072411169,0.798541934987078,0.85006879287833,0.890228298884591,0.920635253386737,0.94315723838822,0.959568658098276,0.971385590227396,0.979821397327674,0.985806584441959
"F589",0.400725889462473,0.488875084006096,0.577721644515396,0.661808051791235,0.736779466527116,0.800149800354456,0.851341972868447,0.891204099958155,0.921364631777615,0.943692294463367,0.959955793699441,0.97166291849747,0.980018648298781,0.985946167864538
"F538",0.405384802742674,0.493714518299084,0.582438368309158,0.666128341017764,0.740517530730399,0.803228272441295,0.853775991791198,0.893067424158888,0.922756174459575,0.944712432894416,0.960693555584612,0.972191240222939,0.980394327629052,0.986211968905744
