"Date","Roost","Group","Age","Sex","Band","ID","switch_w","potential","n.days","switch_w","potential","n.days"
3808.16666666667,"R3A",4,"A","F",583,"F583",3,3,10,0,1,0
3808.16666666667,"R3A",4,"A","F",589,"F589",3,3,24,0,1,0
3808.16666666667,"R3A",4,"A","M",533,"M533",3,3,4,0,1,0
3808.16666666667,"R3A",4,"A","M",539,"M539",3,3,4,0,1,0
3808.16666666667,"R3A",4,"A","M",573,"M573",3,3,7,0,1,0
3808.16666666667,"R3A",4,"A","M",593,"M593",3,3,4,0,1,0
3808.16666666667,"R48",9,"A","F",538,"F538",0,1,3,0,1,0
3808.16666666667,"R48",9,"A","F",540,"F540",0,1,3,0,1,0
3808.16666666667,"R48",9,"A","M",631,"M631",0,1,6,0,1,0
3808.16666666667,"RCA",11,"A","F",512,"F512",3,3,6,0,1,0
3808.16666666667,"RCA",11,"A","F",524,"F524",3,3,6,0,1,0
3808.16666666667,"RCA",11,"A","M",523,"M523",3,3,10,0,1,0
3808.16666666667,"RCA",11,"A","M",530,"M530",3,3,6,0,1,0
3808.16666666667,"RPO",13,"A","F",516,"F516",3,3,4,0,1,0
3808.16666666667,"RPO",13,"A","F",518,"F518",0,1,4,0,1,0
3808.16666666667,"RPO",13,"A","F",544,"F544",3,3,4,0,1,0
3808.16666666667,"RPO",13,"A","F",596,"F596",0,1,0,0,1,0
3808.16666666667,"RPO",13,"A","M",520,"M520",1,1,3,0,1,0
3808.16666666667,"RPO",13,"A","M",543,"M543",0,1,4,0,1,0
3809.16666666667,"R10",1,"A","F",567,"F567",0,1,0,0,1,0
3809.16666666667,"RPO",13,"A","F",512,"F512",1,1,1,0,1,0
3809.16666666667,"RPO",13,"A","F",516,"F516",0,1,1,0,1,0
3809.16666666667,"RPO",13,"A","F",518,"F518",0,1,5,0,1,0
3809.16666666667,"RPO",13,"A","F",538,"F538",1,1,4,0,1,0
3809.16666666667,"RPO",13,"A","F",540,"F540",1,1,4,0,1,0
3809.16666666667,"RPO",13,"A","F",544,"F544",0,1,1,0,1,0
3809.16666666667,"RPO",13,"A","M",520,"M520",0,1,1,0,1,0
3809.16666666667,"RPO",13,"A","M",543,"M543",0,1,5,0,1,0
3810.16666666667,"R3A",4,"A","F",517,"F517",1,3,5,0,1,0
3810.16666666667,"R3A",4,"A","F",570,"F570",3,3,2,0,1,0
3810.16666666667,"R3A",4,"A","F",571,"F571",3,3,12,0,1,0
3810.16666666667,"R3A",4,"A","F",577,"F577",3,3,2,0,1,0
3810.16666666667,"R3A",4,"A","F",583,"F583",3,3,2,0,1,0
3810.16666666667,"R3A",4,"A","F",589,"F589",3,3,2,0,1,0
3810.16666666667,"R3A",4,"A","M",539,"M539",3,3,2,0,1,0
3810.16666666667,"R3A",4,"A","M",573,"M573",3,3,2,0,1,0
3810.16666666667,"R3A",4,"A","M",593,"M593",3,3,2,0,1,0
3810.16666666667,"R48",9,"A","M",568,"M568",1,3,2,0,1,0
3810.16666666667,"R48",9,"A","M",631,"M631",3,3,8,0,1,0
3810.16666666667,"RPO",13,"A","F",516,"F516",0,1,2,0,1,0
3810.16666666667,"RPO",13,"A","F",544,"F544",0,1,2,0,1,0
3810.16666666667,"RPO",13,"A","F",596,"F596",3,3,2,0,1,0
3810.16666666667,"RPO",13,"A","M",543,"M543",0,1,6,0,1,0
3811.16666666667,"R10",1,"A","M",513,"M513",3,3,6,0,1,0
3811.16666666667,"R3A",4,"A","F",570,"F570",0,1,1,0,1,0
3811.16666666667,"R3A",4,"A","F",571,"F571",0,1,1,0,1,0
3811.16666666667,"R3A",4,"A","F",572,"F572",3,3,3,0,1,0
3811.16666666667,"R3A",4,"A","F",577,"F577",0,1,1,0,1,0
3811.16666666667,"R3A",4,"A","F",578,"F578",3,3,3,0,1,0
3811.16666666667,"R3A",4,"A","F",583,"F583",0,1,1,0,1,0
3811.16666666667,"R3A",4,"A","F",589,"F589",0,1,1,0,1,0
3811.16666666667,"R3A",4,"A","M",533,"M533",3,3,3,0,1,0
3811.16666666667,"R3A",4,"A","M",539,"M539",0,1,1,0,1,0
3811.16666666667,"R3A",4,"A","M",573,"M573",0,1,1,0,1,0
3811.16666666667,"R3A",4,"A","M",593,"M593",0,1,1,0,1,0
3811.16666666667,"R48",9,"A","M",631,"M631",0,1,1,0,1,0
3812.16666666667,"RCA",11,"A","F",524,"F524",3,3,4,0,1,0
3812.16666666667,"RCA",11,"A","F",538,"F538",1,3,3,0,1,0
3812.16666666667,"RCA",11,"A","F",540,"F540",1,3,3,0,1,0
3812.16666666667,"RCA",11,"A","M",523,"M523",3,3,4,0,1,0
3812.16666666667,"RCA",11,"A","M",530,"M530",3,3,4,0,1,0
3814.16666666667,"R3A",4,"A","F",570,"F570",3,3,4,0,1,0
3814.16666666667,"R3A",4,"A","F",571,"F571",3,3,4,0,1,0
3814.16666666667,"R3A",4,"A","F",572,"F572",3,3,3,0,1,0
3814.16666666667,"R3A",4,"A","F",577,"F577",3,3,4,0,1,0
3814.16666666667,"R3A",4,"A","F",578,"F578",3,3,3,0,1,0
3814.16666666667,"R3A",4,"A","F",583,"F583",3,3,4,0,1,0
3814.16666666667,"R3A",4,"A","F",589,"F589",3,3,4,0,1,0
3814.16666666667,"R3A",4,"A","M",533,"M533",3,3,3,0,1,0
3814.16666666667,"R3A",4,"A","M",539,"M539",3,3,4,0,1,0
3814.16666666667,"R3A",4,"A","M",573,"M573",3,3,4,0,1,0
3814.16666666667,"R3A",4,"A","M",593,"M593",3,3,4,0,1,0
3815.16666666667,"R3A",4,"A","F",570,"F570",0,1,1,0,1,0
3815.16666666667,"R3A",4,"A","F",571,"F571",0,1,1,0,1,0
3815.16666666667,"R3A",4,"A","F",572,"F572",0,1,1,0,1,0
